JS_ID,Job_ID
36965,39243
36965,94791
36965,73918
36965,99710
36965,12361
36965,28680
36965,57372
36965,695
36965,25155
36965,29838
36965,84178
36965,14340
36965,61726
36965,3545
36965,22517
36965,3805
36965,41448
36965,34874
36965,66638
36965,83129
36965,1503
36965,30965
36965,39824
36965,92369
36965,70434
36965,49372
36965,20460
36965,38335
36965,93944
36965,8013
36965,74059
36965,43652
36965,22048
36965,8287
36965,58424
36965,47260
36965,96937
36965,7959
36965,59292
36965,69995
36965,60388
36965,50015
36965,54857
36965,36162
36965,22340
36965,11153
36965,92155
36965,57289
36965,65681
36965,51055
36965,22648
36965,11125
36965,26165
36965,62803
36965,13748
36965,22620
36965,7697
36965,47172
36965,43461
36965,66992
36965,26030
36965,69711
36965,39301
36965,49612
36965,6262
36965,47722
36965,12812
36965,42451
36965,31336
36965,7315
36965,45177
36965,50886
36965,19581
36965,62905
36965,85851
36965,13512
36965,93016
36965,42102
36965,25460
36965,17740
36965,1608
36965,97475
36965,48489
36965,27199
36965,96691
36965,83163
36965,62515
36965,36854
36965,79278
36965,91832
36965,43003
36965,58876
36965,18030
36965,34523
36965,36891
36965,31024
36965,32541
36965,98615
36965,81052
36965,1198
36965,15889
36965,61524
36965,25706
36965,7021
36965,75920
36965,59054
36965,97287
36965,63663
36965,47003
36965,37512
36965,70511
36965,48430
36965,56254
36965,98521
36965,96507
36965,13705
36965,74421
36965,29982
36965,53695
36965,95970
36965,64757
36965,8669
36965,58660
36965,57173
36965,72929
36965,15096
36965,11766
36965,26544
36965,62943
36965,21947
36965,53770
36965,39383
36965,21026
36965,9588
36965,55587
36965,49068
36965,72659
36965,9053
36965,47187
36965,37840
36965,59113
36965,28935
36965,78675
36965,20149
36965,36296
36965,47884
36965,26074
36965,93464
36965,8982
36965,76793
36965,15956
36965,74988
36965,44976
36965,84622
36965,21334
36965,6856
36965,12104
36965,8796
36965,38798
36965,58159
36965,70679
36965,63028
36965,82703
36965,43946
36965,38589
36965,50307
36965,13613
36965,45185
36965,51956
36965,90275
36965,77964
36965,64966
36965,81307
36965,62224
36965,77942
36965,21683
36965,11038
36965,67747
36965,48609
36965,4925
36965,8628
36965,21855
36965,2584
36965,98306
36965,12599
36965,78591
36965,3101
36965,93507
36965,90546
36965,34076
36965,7536
36965,61238
36965,66713
36965,62851
36965,18445
36965,58681
36965,57589
36965,13278
36965,79102
36965,38591
36965,48933
36965,39993
36965,68607
36965,62826
36965,97754
36965,31910
36965,37735
36965,85038
36965,30568
36965,27660
36965,95796
36965,91319
36965,86447
36965,89249
36965,37022
36965,93387
36965,42374
36965,9169
36965,61976
36965,91043
36965,66677
36965,89096
36965,89967
36965,51334
36965,25838
36965,90808
36965,1318
36965,697
36965,68532
36965,652
36965,10958
36965,74088
36965,33252
36965,80200
63777,84844
63777,1064
63777,70994
63777,28680
63777,6420
63777,74649
63777,96311
63777,91845
63777,2126
63777,30965
63777,81015
63777,36458
63777,25310
63777,79095
63777,38335
63777,50802
63777,76581
63777,10563
63777,60979
63777,88384
63777,50426
63777,36162
63777,73733
63777,11153
63777,9150
63777,92155
63777,65681
63777,60090
63777,51710
63777,44043
63777,83365
63777,8309
63777,50055
63777,44582
63777,98684
63777,29628
63777,90375
63777,80519
63777,16081
63777,8862
63777,6346
63777,3086
63777,96678
63777,81497
63777,74600
63777,64747
63777,65472
63777,74365
63777,3924
63777,28928
63777,14290
63777,80999
63777,82093
63777,22110
63777,84595
63777,29822
63777,40753
63777,97287
63777,34808
63777,70511
63777,48430
63777,73346
63777,67349
63777,37212
63777,64757
63777,54466
63777,47881
63777,11766
63777,95408
63777,21947
63777,14425
63777,53770
63777,65295
63777,47820
63777,41473
63777,39501
63777,29682
63777,70167
63777,78995
63777,12104
63777,58159
63777,70679
63777,48745
63777,61025
63777,7025
63777,59783
63777,94202
63777,77942
63777,10692
63777,22436
63777,48609
63777,4312
63777,4232
63777,55184
63777,60549
63777,84135
63777,28112
63777,40557
63777,69661
63777,29290
63777,79138
63777,39993
63777,87993
63777,97754
63777,2677
63777,16291
63777,12515
63777,9169
63777,95180
63777,75733
63777,47458
63777,46196
63777,7197
45689,40696
45689,41477
45689,50797
45689,84230
45689,11003
45689,53643
45689,29838
45689,65887
45689,15989
45689,91845
45689,40029
45689,43735
45689,84178
45689,22551
45689,61726
45689,41448
45689,10428
45689,30965
45689,69427
45689,87781
45689,10564
45689,50802
45689,43652
45689,58914
45689,88384
45689,42452
45689,54857
45689,36162
45689,22340
45689,57289
45689,4731
45689,46431
45689,39274
45689,78824
45689,2418
45689,26405
45689,62704
45689,58143
45689,43461
45689,89624
45689,66992
45689,97872
45689,39301
45689,27671
45689,80519
45689,9891
45689,6262
45689,89332
45689,48721
45689,65304
45689,92882
45689,54361
45689,71346
45689,70954
45689,9915
45689,7315
45689,46061
45689,62905
45689,84441
45689,92655
45689,38505
45689,93016
45689,3086
45689,34524
45689,30860
45689,64775
45689,86289
45689,78765
45689,90997
45689,97475
45689,34924
45689,27199
45689,22528
45689,21793
45689,28928
45689,99162
45689,21092
45689,65432
45689,58876
45689,54974
45689,11158
45689,29358
45689,45216
45689,24070
45689,71128
45689,81052
45689,61524
45689,25706
45689,94363
45689,7021
45689,15718
45689,4177
45689,24234
45689,59054
45689,91374
45689,44313
45689,84024
45689,42635
45689,34808
45689,16425
45689,37512
45689,48430
45689,71951
45689,24353
45689,48756
45689,85606
45689,84822
45689,67349
45689,58951
45689,96149
45689,60670
45689,52905
45689,75444
45689,39351
45689,47820
45689,93735
45689,1349
45689,86161
45689,55587
45689,47187
45689,37840
45689,41473
45689,20149
45689,30170
45689,14299
45689,71569
45689,28136
45689,44976
45689,78995
45689,97247
45689,38211
45689,30481
45689,58617
45689,66626
45689,63028
45689,99290
45689,18165
45689,10343
45689,73973
45689,29040
45689,70600
45689,38589
45689,6090
45689,44949
45689,4027
45689,43746
45689,51956
45689,61573
45689,29811
45689,57967
45689,62224
45689,68857
45689,63777
45689,63620
45689,76147
45689,98306
45689,18882
45689,4232
45689,12599
45689,37106
45689,73386
45689,8536
45689,72598
45689,76145
45689,49942
45689,45506
45689,34076
45689,56489
45689,18841
45689,51097
45689,5059
45689,61238
45689,96402
45689,27856
45689,38591
45689,28282
45689,74594
45689,45696
45689,68607
45689,62826
45689,31910
45689,2677
45689,41543
45689,99757
45689,96211
45689,92966
45689,16216
45689,92282
45689,52703
45689,10424
45689,95796
45689,65334
45689,13373
45689,99454
45689,89249
45689,53352
45689,30692
45689,73539
45689,64575
45689,61976
45689,52638
45689,53056
45689,89642
45689,88311
45689,697
45689,10958
45689,49307
45689,33252
45689,33470
45689,59530
36607,97522
36607,98122
36607,91713
36607,95763
36607,72149
36607,88384
36607,60388
36607,73798
36607,92155
36607,65538
36607,41190
36607,88776
36607,7697
36607,94556
36607,83365
36607,63866
36607,63951
36607,39863
36607,66501
36607,24548
36607,13285
36607,23525
36607,84059
36607,14290
36607,75920
36607,84595
36607,84024
36607,97287
36607,42723
36607,47003
36607,49424
36607,13705
36607,42819
36607,16012
36607,53770
36607,86161
36607,28935
36607,81743
36607,53495
36607,14240
36607,45841
36607,63297
36607,6594
36607,15956
36607,38798
36607,44348
36607,66626
36607,7339
36607,6815
36607,48745
36607,60730
36607,64317
36607,57967
36607,76147
36607,97900
36607,40938
36607,49233
36607,72270
36607,34076
36607,51097
36607,18445
36607,92100
36607,62826
36607,73409
36607,75733
36607,64597
79145,1064
79145,70994
79145,69909
79145,37605
79145,91845
79145,29759
79145,2126
79145,73945
79145,37624
79145,94916
79145,14340
79145,61726
79145,8980
79145,50306
79145,44305
79145,10428
79145,66638
79145,30965
79145,92369
79145,81015
79145,36458
79145,78355
79145,25310
79145,87781
79145,93944
79145,8287
79145,1795
79145,26312
79145,88384
79145,62725
79145,87765
79145,82315
79145,36866
79145,24848
79145,22340
79145,41190
79145,51710
79145,3617
79145,26405
79145,51678
79145,63014
79145,44043
79145,66992
79145,51855
79145,39301
79145,2820
79145,30883
79145,3228
79145,90375
79145,17936
79145,16081
79145,12812
79145,65304
79145,51431
79145,39863
79145,66326
79145,9915
79145,66501
79145,13875
79145,7315
79145,34274
79145,46061
79145,85851
79145,38505
79145,23594
79145,13285
79145,64747
79145,43175
79145,23525
79145,26935
79145,16722
79145,84059
79145,28928
79145,14290
79145,80887
79145,51181
79145,46692
79145,92236
79145,36854
79145,65664
79145,34523
79145,45216
79145,22110
79145,15889
79145,61524
79145,37195
79145,48898
79145,96472
79145,97287
79145,34808
79145,37654
79145,63663
79145,37512
79145,13122
79145,98521
79145,85606
79145,53695
79145,9031
79145,8669
79145,6525
79145,58660
79145,10042
79145,47881
79145,57173
79145,15096
79145,62943
79145,75444
79145,14425
79145,39383
79145,9076
79145,86161
79145,9053
79145,81743
79145,36296
79145,63297
79145,70167
79145,6594
79145,75375
79145,28136
79145,44976
79145,78995
79145,78374
79145,42923
79145,38211
79145,19147
79145,27266
79145,7339
79145,38589
79145,17354
79145,7025
79145,64317
79145,20130
79145,36956
79145,19851
79145,22436
79145,96932
79145,4232
79145,78591
79145,37106
79145,72568
79145,97900
79145,93507
79145,33196
79145,49233
79145,74722
79145,56407
79145,6374
79145,84135
79145,17185
79145,49957
79145,74594
79145,79138
79145,87993
79145,97567
79145,85617
79145,12515
79145,73409
79145,18064
79145,82704
79145,42374
79145,61976
79145,52638
79145,13395
79145,80572
79145,10059
79145,89967
79145,51334
79145,5062
79145,64597
79145,30776
79145,52110
79145,97957
37684,90482
37684,2885
37684,53926
37684,99710
37684,79668
37684,29838
37684,88731
37684,43092
37684,44305
37684,10428
37684,66638
37684,1503
37684,49372
37684,36458
37684,39079
37684,38335
37684,50136
37684,49983
37684,46068
37684,59292
37684,50015
37684,36162
37684,73445
37684,60211
37684,11153
37684,51055
37684,88776
37684,26165
37684,3617
37684,10079
37684,23385
37684,22620
37684,7697
37684,94556
37684,97872
37684,16897
37684,13914
37684,7685
37684,36215
37684,48721
37684,65304
37684,54361
37684,80996
37684,68964
37684,9915
37684,13875
37684,7315
37684,98151
37684,46061
37684,82969
37684,93016
37684,27522
37684,24548
37684,88855
37684,21793
37684,14290
37684,36838
37684,62515
37684,7926
37684,99162
37684,19091
37684,45216
37684,32541
37684,15889
37684,88161
37684,88950
37684,113
37684,53881
37684,24234
37684,34808
37684,16425
37684,94691
37684,13122
37684,41743
37684,48756
37684,98521
37684,26261
37684,74421
37684,58951
37684,58660
37684,54466
37684,10042
37684,72929
37684,15096
37684,11766
37684,55319
37684,47820
37684,88953
37684,9588
37684,55587
37684,72659
37684,9053
37684,92622
37684,78675
37684,39888
37684,99792
37684,80842
37684,26074
